id,chip manufacture,series,GPU,Vram,clockspeed (MHz),currently being manufactured,avg. price (NZD),avg. benchmark
1,NVIDIA,RTX,RTX 4090,24 GB,2235,TRUE,"$3,600 ",29049
2,NVIDIA,RTX,RTX 4080 SUPER,16 GB,2210,TRUE,"$2,300 ",24226
3,NVIDIA,RTX,RTX 4080,16 GB,2205,FALSE,"$2,400 ",24183
4,NVIDIA,RTX,RTX 4070 Ti SUPER,16 GB,2340,TRUE,"$1,700 ",21556
5,NVIDIA,RTX,RTX 4070 Ti,12 GB,2310,FALSE,"$1,450 ",20518
6,NVIDIA,RTX,RTX 4070 SUPER,12 GB,1980,TRUE,"$1,250 ",19338
7,NVIDIA,RTX,RTX 4070,12 GB,1920,FALSE,"$1,100 ",16966
8,NVIDIA,RTX,RTX 4060 Ti,8 GB,2310,TRUE,$750 ,13458
9,NVIDIA,RTX,RTX 4060,8 GB,1830,TRUE,$550 ,11011
10,NVIDIA,RTX,RTX 3080 Ti,12 GB,1365,FALSE,"$1,000 ",18472
11,NVIDIA,RTX,RTX 3080,10 GB,1440,FALSE,$939 ,16950
12,NVIDIA,RTX,RTX 3060 ti,8 GB,1410,FALSE,$500 ,11993
13,NVIDIA,RTX,RTX 3060 ti 12GB,12GB,1320,FALSE,$550 ,12037
14,NVIDIA,RTX,RTX 3050 8GB,8GB,1550,FALSE,$460 ,7003
15,NVIDIA,RTX,RTX 3050 6GB,6GB,1040,FALSE,$400 ,6842
16,AMD,Radeon,Radeon RX 7900 XTX,24 GB,2300,TRUE,"$2,200 ",25675
17,AMD,Radeon,Radeon RX 7900 XT,20 GB,2000,TRUE,"$1,500 ",23210
18,AMD,Radeon,Radeon RX 7800 XT,16 GB,1295,TRUE,"$1,100 ",18421
19,AMD,Radeon,Radeon RX 7700 XT,12 GB,1700,TRUE,"$1,000 ",16273
20,AMD,Radeon,Radeon RX 7600 XT,16 GB,1720,TRUE,$650 ,11503
